order_id,customer_id,restaurant_id,order_date,order_time,order_amount,delivery_time,order_status
O000144,C00506,R0286,01-02-2024,18:00,1607,-6,Cancelled
O000145,C01145,R0035,,18:00,1591,43,delivered
O000146,C01842,R0021,2024-01-01,,306,17,delivered
O000147,C00720,R0111,2024-01-01,13:00,480,1,Cancelled
O000148,C01395,R0488,2024-01-01,13:00,1915,6,Delivered
O000149,C00257,R0319,2024-01-01,13:00,981,-3,Delivered
O000150,C01721,R0348,01-02-2024,22:00,1760,7,
O000151,C01822,R0487,2024-01-01,18:00,86,106,Delivered
O000152,C00954,R0145,March 3 2024,,1522,-1,delivered
O000153,C02981,R0012,March 3 2024,12:00,1421,28,delivered
O000154,C01072,R0244,2024-01-01,13:00,1790,30,delivered
O000155,C01623,R0498,March 3 2024,13:00,389,97,
O000156,C00897,R0146,March 3 2024,18:00,179,33,
O000157,C02067,R0239,,12:00,754,32,
O000158,C01070,R0092,,,1758,100,delivered
O000159,C00451,R0316,2024-01-01,13:00,1087,8,Cancelled
O000160,C00898,R0323,01-02-2024,18:00,904,10,Delivered
O000161,C01080,R0115,01-02-2024,20:00,297,-8,Delivered
O000162,C00741,R0015,,,327,93,Cancelled
O000163,C00082,R0272,,22:00,274,45,Cancelled
O000164,C00737,R0022,01-02-2024,,531,116,Delivered
O000165,C00079,R0118,2024-01-01,18:00,596,118,Delivered
O000166,C01686,R0369,01-02-2024,13:00,1346,77,
O000167,C02331,R0095,01-02-2024,,827,25,
O000168,C01335,R0447,March 3 2024,12:00,1887,-5,Cancelled
O000169,C00997,R0415,01-02-2024,20:00,1927,63,Cancelled
O000170,C02208,R0257,,12:00,1565,35,delivered
O000171,C01340,R0331,2024-01-01,12:00,-23,9,Cancelled
O000172,C02003,R0262,01-02-2024,12:00,387,24,Cancelled
O000173,C01692,R0087,March 3 2024,18:00,961,36,delivered
O000174,C01180,R0393,,18:00,70,25,Delivered
O000175,C02936,R0436,,,541,5,
O000176,C01738,R0464,March 3 2024,22:00,1599,97,delivered
O000177,C02516,R0318,,20:00,1505,54,Cancelled
O000178,C00853,R0058,March 3 2024,,191,52,Cancelled
O000179,C00462,R0230,,12:00,1841,41,Delivered
O000180,C02902,R0108,,,480,62,
O000181,C00117,R0019,,13:00,321,49,
O000182,C01690,R0365,,,4,90,
O000183,C02412,R0141,March 3 2024,,1329,6,
O000184,C01655,R0379,01-02-2024,12:00,779,27,Delivered
O000185,C01735,R0160,,,1382,18,delivered
O000186,C01937,R0100,March 3 2024,20:00,1029,20,Delivered
O000187,C00466,R0265,March 3 2024,12:00,1784,43,Cancelled
O000188,C01799,R0238,March 3 2024,18:00,214,91,Delivered
O000189,C02232,R0238,01-02-2024,18:00,508,15,Cancelled
O000190,C00660,R0049,2024-01-01,,277,8,Delivered
O000191,C02123,R0165,March 3 2024,,1419,100,
O000192,C02874,R0287,March 3 2024,20:00,33,16,
O000193,C01715,R0415,March 3 2024,22:00,1716,2,delivered
O000194,C02551,R0059,01-02-2024,12:00,292,41,
O000195,C00795,R0183,,20:00,314,87,Delivered
O000196,C01587,R0147,01-02-2024,,1036,8,Cancelled
O000197,C00587,R0447,March 3 2024,,1651,72,delivered
O000198,C02704,R0386,2024-01-01,,765,-8,delivered
O000199,C02748,R0301,March 3 2024,,189,56,Delivered
O000200,C00635,R0096,,13:00,1406,15,Delivered
O000201,C02892,R0043,2024-01-01,,1832,-5,
O000202,C01275,R0354,2024-01-01,,1238,16,
O000203,C02883,R0257,01-02-2024,13:00,777,94,
O000204,C01154,R0213,01-02-2024,22:00,1884,77,delivered
O000205,C02812,R0189,,18:00,651,-1,delivered
O000206,C00358,R0131,01-02-2024,,648,5,Cancelled
O000207,C02740,R0347,,,264,12,delivered
O000208,C01432,R0300,2024-01-01,20:00,166,36,
O000209,C01885,R0391,2024-01-01,12:00,305,1,delivered
O000210,C01519,R0289,2024-01-01,20:00,38,66,delivered
O000211,C00622,R0137,,,1088,7,delivered
O000212,C00482,R0030,01-02-2024,22:00,1717,47,Cancelled
O000213,C00980,R0146,01-02-2024,20:00,1620,119,delivered
O000214,C01874,R0312,01-02-2024,22:00,1333,76,Cancelled
O000215,C00978,R0474,March 3 2024,22:00,770,53,delivered
O000216,C01538,R0468,2024-01-01,,602,76,Cancelled
O000217,C02338,R0486,2024-01-01,22:00,1598,43,
O000218,C01321,R0105,March 3 2024,20:00,100,67,Cancelled
O000219,C01705,R0287,2024-01-01,13:00,517,3,Delivered
O000220,C02800,R0456,2024-01-01,12:00,1913,27,Cancelled
O000221,C01995,R0191,March 3 2024,22:00,756,94,Cancelled
O000222,C02071,R0471,2024-01-01,,1652,5,
O000223,C00806,R0178,01-02-2024,18:00,1909,71,Cancelled
O000224,C02220,R0345,March 3 2024,22:00,-37,63,
O000225,C00835,R0239,2024-01-01,20:00,1019,19,
O000226,C02366,R0001,01-02-2024,22:00,1263,57,
O000227,C00908,R0110,,18:00,1611,60,Delivered
O000228,C02846,R0338,2024-01-01,13:00,150,69,Cancelled
O000229,C01721,R0275,March 3 2024,20:00,1629,104,Delivered
O000230,C00855,R0371,01-02-2024,20:00,-62,26,
O000231,C02729,R0382,,,-32,44,Cancelled
O000232,C00916,R0234,,20:00,176,86,
O000233,C00843,R0064,2024-01-01,18:00,1009,88,Cancelled
O000234,C02531,R0244,,20:00,1015,101,Cancelled
O000235,C00132,R0053,March 3 2024,13:00,1343,107,Cancelled
O000236,C01117,R0262,,12:00,240,46,delivered
O000237,C00861,R0017,2024-01-01,12:00,320,86,delivered
O000238,C00294,R0302,,22:00,1818,51,delivered
O000239,C02689,R0493,2024-01-01,12:00,372,28,Cancelled
O000240,C01000,R0456,,18:00,1733,63,
O000241,C02440,R0374,01-02-2024,12:00,766,56,
O000242,C02297,R0234,2024-01-01,18:00,1569,18,delivered
O000243,C02751,R0073,March 3 2024,18:00,880,20,Delivered
O000244,C01261,R0357,March 3 2024,22:00,1987,49,Cancelled
O000245,C00287,R0439,,12:00,155,28,
O000246,C02325,R0091,01-02-2024,22:00,1520,-10,
O000247,C02435,R0484,,20:00,1343,45,delivered
O000248,C00450,R0006,,13:00,438,90,Delivered
O000249,C02339,R0198,01-02-2024,12:00,1665,80,Delivered
O000250,C02491,R0365,2024-01-01,20:00,1723,119,Cancelled
O000251,C02704,R0196,March 3 2024,,757,95,
O000252,C01208,R0470,01-02-2024,20:00,31,-6,Cancelled
O000253,C01779,R0296,,22:00,1526,70,Delivered
O000254,C02875,R0347,2024-01-01,22:00,640,118,Delivered
O000255,C01970,R0485,,13:00,1931,109,Cancelled
O000256,C00476,R0322,2024-01-01,13:00,1825,32,Delivered
O000257,C00253,R0137,March 3 2024,13:00,1901,81,delivered
O000258,C01420,R0267,March 3 2024,13:00,181,67,delivered
O000259,C02337,R0404,2024-01-01,22:00,1298,4,Delivered
O000260,C01236,R0116,March 3 2024,18:00,808,35,
O000261,C01000,R0043,,22:00,565,-4,Delivered
O000262,C00021,R0231,2024-01-01,18:00,1222,104,Cancelled
O000263,C00316,R0058,,22:00,1245,-4,
O000264,C02612,R0206,2024-01-01,,1033,77,delivered
O000265,C01462,R0410,,22:00,1546,79,delivered
O000266,C01447,R0294,March 3 2024,13:00,370,8,delivered
O000267,C01257,R0094,01-02-2024,18:00,311,42,delivered
O000268,C02171,R0036,,20:00,412,79,delivered
O000269,C02922,R0230,2024-01-01,,1403,5,
O000270,C00960,R0227,March 3 2024,20:00,1063,51,delivered
O000271,C02262,R0183,2024-01-01,,1106,54,
O000272,C01946,R0262,,20:00,318,101,Cancelled
O000273,C00839,R0131,2024-01-01,13:00,856,25,Delivered
O000274,C02695,R0065,2024-01-01,20:00,1717,13,
O000275,C00968,R0380,,22:00,724,58,delivered
O000276,C01854,R0448,March 3 2024,13:00,807,108,Cancelled
O000277,C02778,R0186,March 3 2024,20:00,632,118,Cancelled
O000278,C00600,R0117,,13:00,1824,112,Delivered
O000279,C00792,R0186,March 3 2024,22:00,290,89,Delivered
O000280,C00040,R0274,01-02-2024,13:00,1487,4,
O000281,C02800,R0151,2024-01-01,20:00,560,63,
O000282,C02991,R0352,,13:00,-74,25,Delivered
O000283,C00648,R0413,01-02-2024,,1431,42,Delivered
O000284,C00182,R0151,2024-01-01,12:00,783,68,Delivered
O000285,C00265,R0384,,20:00,1714,30,Cancelled
O000286,C02819,R0036,March 3 2024,22:00,26,26,Delivered
O000287,C00863,R0326,,18:00,1379,77,Cancelled
O000288,C00432,R0465,,13:00,1318,3,delivered
O000289,C01220,R0466,2024-01-01,,218,24,delivered
O000290,C00509,R0095,2024-01-01,13:00,240,60,
O000291,C00447,R0134,2024-01-01,20:00,593,-3,
O000292,C00528,R0162,01-02-2024,,18,1,Delivered
O000293,C02923,R0044,March 3 2024,20:00,677,99,
O000294,C01754,R0300,,12:00,1291,69,delivered
O000295,C01629,R0283,,22:00,284,104,
O000296,C01163,R0356,March 3 2024,,1905,57,Cancelled
O000297,C00669,R0240,,,1505,34,
O000298,C00847,R0052,2024-01-01,13:00,1081,30,delivered
O000299,C02118,R0426,,13:00,1533,50,delivered
O000300,C02864,R0281,March 3 2024,18:00,1640,65,delivered
O000301,C01771,R0074,01-02-2024,,-15,88,delivered
O000302,C01826,R0295,01-02-2024,13:00,1825,56,Cancelled
O000303,C00446,R0238,March 3 2024,13:00,1008,-9,
O000304,C01026,R0167,,12:00,258,111,delivered
O000305,C01772,R0140,,18:00,1826,5,
O000306,C01360,R0139,01-02-2024,13:00,1873,12,Delivered
O000307,C00019,R0369,,13:00,346,84,Cancelled
O000308,C02018,R0235,01-02-2024,22:00,1825,103,Delivered
O000309,C00561,R0003,March 3 2024,,1898,30,Cancelled
O000310,C00472,R0256,March 3 2024,13:00,1226,108,delivered
O000311,C00028,R0371,,12:00,978,111,
O000312,C00560,R0278,2024-01-01,13:00,204,44,Cancelled
O000313,C02656,R0004,2024-01-01,,1876,99,Delivered
O000314,C00458,R0392,01-02-2024,13:00,433,89,Delivered
O000315,C00945,R0270,March 3 2024,20:00,1982,17,
O000316,C01200,R0212,01-02-2024,13:00,1463,17,Cancelled
O000317,C00984,R0216,March 3 2024,18:00,1063,112,Delivered
O000318,C00868,R0270,01-02-2024,,914,15,Delivered
O000319,C02077,R0476,01-02-2024,,540,2,Cancelled
O000320,C01980,R0016,01-02-2024,20:00,1023,60,delivered
O000321,C02717,R0416,,18:00,658,43,delivered
O000322,C00826,R0064,2024-01-01,18:00,1792,2,
O000323,C00816,R0239,March 3 2024,,183,109,delivered
O000324,C02327,R0460,01-02-2024,12:00,12,48,
O000325,C02331,R0016,2024-01-01,13:00,96,-7,Delivered
O000326,C01003,R0052,01-02-2024,18:00,1087,69,Delivered
O000327,C01543,R0019,01-02-2024,13:00,792,49,delivered
O000328,C02353,R0325,March 3 2024,13:00,721,36,Cancelled
O000329,C02742,R0396,,12:00,1354,66,delivered
O000330,C00109,R0093,01-02-2024,12:00,1957,-6,
O000331,C02372,R0261,March 3 2024,18:00,1568,25,
O000332,C01230,R0298,,18:00,90,8,Cancelled
O000333,C01962,R0017,,,1719,19,Delivered
O000334,C02506,R0111,2024-01-01,20:00,176,100,Delivered
O000335,C01964,R0328,2024-01-01,13:00,1166,30,delivered
O000336,C02530,R0360,01-02-2024,,175,17,
O000337,C00922,R0488,2024-01-01,13:00,1550,20,
O000338,C01431,R0094,March 3 2024,12:00,1230,1,Cancelled
O000339,C01533,R0010,March 3 2024,12:00,1793,31,Cancelled
O000340,C01893,R0212,2024-01-01,,492,79,delivered
O000341,C02568,R0237,March 3 2024,18:00,782,5,Cancelled
O000342,C01422,R0254,March 3 2024,20:00,1287,88,Delivered
O000343,C01223,R0016,01-02-2024,20:00,876,104,Cancelled
O000344,C00391,R0489,01-02-2024,12:00,1434,2,
O000345,C01673,R0144,March 3 2024,12:00,1154,49,
O000346,C02819,R0042,2024-01-01,20:00,-87,17,
O000347,C01870,R0003,March 3 2024,20:00,937,98,
O000348,C02961,R0407,,18:00,907,81,Delivered
O000349,C01522,R0470,,20:00,963,118,delivered
O000350,C01196,R0377,,13:00,1709,11,Cancelled
O000351,C02134,R0156,01-02-2024,20:00,1803,74,delivered
O000352,C02606,R0494,2024-01-01,22:00,754,16,delivered
O000353,C00858,R0173,March 3 2024,20:00,1815,33,Cancelled
O000354,C01210,R0484,2024-01-01,12:00,1241,69,
O000355,C01517,R0452,2024-01-01,12:00,1761,99,
O000356,C01651,R0486,2024-01-01,22:00,1668,13,
O000357,C02714,R0024,,13:00,1700,6,Cancelled
O000358,C01154,R0275,March 3 2024,20:00,1208,-6,Cancelled
O000359,C00843,R0075,01-02-2024,20:00,1601,27,
O000360,C01105,R0040,2024-01-01,22:00,217,48,Delivered
O000361,C01826,R0302,2024-01-01,18:00,309,94,delivered
O000362,C01683,R0040,,18:00,1918,85,Delivered
O000363,C00295,R0062,,13:00,146,79,delivered
O000364,C02002,R0238,March 3 2024,20:00,1267,60,delivered
O000365,C02317,R0487,01-02-2024,20:00,163,89,Delivered
O000366,C00645,R0245,01-02-2024,20:00,67,44,delivered
O000367,C02583,R0018,,12:00,948,60,Delivered
O000368,C02136,R0140,March 3 2024,,602,80,
O000369,C00925,R0398,2024-01-01,18:00,1823,101,Cancelled
O000370,C01648,R0495,March 3 2024,,1450,77,delivered
O000371,C00111,R0082,01-02-2024,22:00,1233,50,Delivered
O000372,C00584,R0189,,,1562,97,Cancelled
O000373,C01487,R0108,2024-01-01,12:00,1975,23,delivered
O000374,C00769,R0234,2024-01-01,12:00,1698,34,delivered
O000375,C01180,R0268,01-02-2024,18:00,1293,118,delivered
O000376,C01649,R0104,2024-01-01,20:00,563,83,delivered
O000377,C02286,R0411,March 3 2024,13:00,1984,17,Cancelled
O000378,C02382,R0134,01-02-2024,,446,95,delivered
O000379,C00106,R0344,01-02-2024,22:00,545,19,delivered
O000380,C01723,R0371,2024-01-01,18:00,777,17,Cancelled
O000381,C01695,R0033,01-02-2024,13:00,572,20,Cancelled
O000382,C01734,R0237,,18:00,271,96,delivered
O000383,C00382,R0374,March 3 2024,18:00,635,72,Cancelled
O000384,C02737,R0336,01-02-2024,18:00,1545,98,Cancelled
O000385,C00261,R0178,,18:00,379,20,Delivered
O000386,C01823,R0012,2024-01-01,20:00,1250,30,Cancelled
O000387,C01317,R0351,01-02-2024,12:00,599,53,
O000388,C01359,R0441,,,1170,111,Delivered
O000389,C02703,R0229,2024-01-01,18:00,912,33,
O000390,C00820,R0309,,13:00,1621,105,Delivered
O000391,C00709,R0269,2024-01-01,,233,25,Delivered
O000392,C02524,R0378,March 3 2024,13:00,563,97,Delivered
O000393,C00907,R0456,01-02-2024,13:00,678,21,Delivered
O000394,C02603,R0358,March 3 2024,12:00,1123,93,Cancelled
O000395,C00663,R0131,March 3 2024,12:00,1258,56,
O000396,C01320,R0249,01-02-2024,13:00,1681,81,Cancelled
O000397,C02623,R0448,March 3 2024,20:00,840,14,Cancelled
O000398,C02690,R0468,March 3 2024,12:00,1178,17,delivered
O000399,C00463,R0058,,12:00,916,8,Cancelled
O000400,C02903,R0004,2024-01-01,20:00,404,45,Delivered
O000401,C00585,R0236,March 3 2024,18:00,337,102,delivered
O000402,C00943,R0173,01-02-2024,12:00,-95,77,delivered
O000403,C02664,R0322,,,1436,91,Cancelled
O000404,C00158,R0371,2024-01-01,13:00,412,115,
O000405,C02320,R0036,March 3 2024,13:00,768,71,delivered
O000406,C01851,R0279,March 3 2024,20:00,874,30,Cancelled
O000407,C01327,R0237,01-02-2024,13:00,1170,115,Cancelled
O000408,C02718,R0275,March 3 2024,22:00,876,2,Delivered
O000409,C02669,R0296,01-02-2024,13:00,520,88,
O000410,C02569,R0328,March 3 2024,20:00,454,72,delivered
O000411,C02107,R0400,March 3 2024,20:00,449,13,
O000412,C01382,R0058,01-02-2024,20:00,493,86,
O000413,C00704,R0363,2024-01-01,,1319,62,
O000414,C00648,R0018,,22:00,1656,-8,delivered
O000415,C02939,R0036,01-02-2024,12:00,1842,-8,delivered
O000416,C02484,R0408,2024-01-01,18:00,522,19,
O000417,C00146,R0129,2024-01-01,13:00,333,55,Cancelled
O000418,C02907,R0001,01-02-2024,,217,16,delivered
O000419,C00188,R0064,,12:00,1424,89,Delivered
O000420,C01376,R0062,01-02-2024,20:00,792,94,
O000421,C01824,R0366,March 3 2024,12:00,527,99,delivered
O000422,C00245,R0420,March 3 2024,12:00,1127,8,delivered
O000423,C01584,R0331,2024-01-01,22:00,57,5,
O000424,C02349,R0146,March 3 2024,20:00,1253,15,Delivered
O000425,C02486,R0272,,,1354,3,Cancelled
O000426,C00868,R0017,01-02-2024,,452,36,Cancelled
O000427,C02148,R0280,,20:00,1794,100,delivered
O000428,C02773,R0098,2024-01-01,13:00,761,19,Delivered
O000429,C02862,R0452,March 3 2024,,1540,94,Delivered
O000430,C00480,R0227,March 3 2024,,1395,37,
O000431,C02463,R0463,01-02-2024,13:00,1985,31,
O000432,C02213,R0386,,13:00,575,30,Delivered
O000433,C01936,R0243,,,1493,85,Cancelled
O000434,C01966,R0479,01-02-2024,,201,83,
O000435,C01662,R0201,March 3 2024,,1837,77,
O000436,C00980,R0394,2024-01-01,13:00,797,-10,Cancelled
O000437,C00088,R0437,2024-01-01,,515,43,Cancelled
O000438,C01241,R0473,01-02-2024,12:00,1547,105,
O000439,C00573,R0179,01-02-2024,12:00,31,24,Delivered
O000440,C00814,R0453,01-02-2024,13:00,1531,-6,
O000441,C00179,R0270,,13:00,1518,98,Cancelled
O000442,C01726,R0234,March 3 2024,13:00,1093,26,
O000443,C00163,R0112,March 3 2024,18:00,844,108,delivered
O000444,C02641,R0486,01-02-2024,13:00,784,96,Cancelled
O000445,C01006,R0488,2024-01-01,18:00,1188,102,
O000446,C02349,R0066,,13:00,1206,56,delivered
O000447,C02422,R0338,01-02-2024,20:00,1470,27,Cancelled
O000448,C02756,R0349,,22:00,370,119,delivered
O000449,C00203,R0437,01-02-2024,,1855,75,Delivered
O000450,C00047,R0245,,,1990,0,Cancelled
O000451,C00463,R0245,2024-01-01,12:00,-23,108,delivered
O000452,C00408,R0468,2024-01-01,20:00,959,71,Delivered
O000453,C01218,R0448,2024-01-01,22:00,1097,24,delivered
O000454,C02475,R0072,2024-01-01,,546,34,Cancelled
O000455,C00930,R0357,March 3 2024,,1253,-2,Cancelled
O000456,C00317,R0049,March 3 2024,18:00,978,84,Cancelled
O000457,C01503,R0496,,12:00,663,-10,Delivered
O000458,C00421,R0346,01-02-2024,18:00,358,-8,
O000459,C01293,R0190,March 3 2024,18:00,591,83,Cancelled
O000460,C01735,R0293,01-02-2024,12:00,1378,77,Delivered
O000461,C01760,R0177,,22:00,1744,16,Delivered
O000462,C00263,R0452,01-02-2024,12:00,-27,18,Cancelled
O000463,C01450,R0161,2024-01-01,13:00,1378,116,Cancelled
O000464,C02214,R0150,2024-01-01,18:00,718,109,Cancelled
O000465,C01716,R0070,March 3 2024,13:00,1877,94,Cancelled
O000466,C00428,R0033,,12:00,54,67,
O000467,C00397,R0284,March 3 2024,12:00,418,58,
O000468,C01240,R0344,March 3 2024,,274,96,delivered
O000469,C00796,R0260,March 3 2024,22:00,242,91,
O000470,C00107,R0322,,18:00,1991,-5,delivered
O000471,C00098,R0077,2024-01-01,20:00,447,29,delivered
