delivery_id,order_id,delivery_partner,distance,delivery_status
D000375,O000375,John,9,delivered
D000376,O000376,John,17,delivered
D000377,O000377,John,-2,Cancelled
D000378,O000378,Amit,13,delivered
D000379,O000379,,-3,delivered
D000380,O000380,Amit,7,Cancelled
D000381,O000381,John,1,Cancelled
D000382,O000382,Amit,19,delivered
D000383,O000383,,6,Cancelled
D000384,O000384,Kiran,17,Cancelled
D000385,O000385,Ravi,-4,Delivered
D000386,O000386,John,10,Cancelled
D000387,O000387,Amit,16,
D000388,O000388,,2,Delivered
D000389,O000389,John,17,
D000390,O000390,John,6,Delivered
D000391,O000391,Kiran,-4,Delivered
D000392,O000392,Ravi,10,Delivered
D000393,O000393,Amit,17,Delivered
D000394,O000394,Amit,9,Cancelled
D000395,O000395,John,3,
D000396,O000396,,9,Cancelled
D000397,O000397,John,-3,Cancelled
D000398,O000398,Kiran,5,delivered
D000399,O000399,Ravi,13,Cancelled
D000400,O000400,Kiran,9,Delivered
D000401,O000401,,15,delivered
D000402,O000402,Amit,19,delivered
D000403,O000403,,-5,Cancelled
D000404,O000404,Kiran,1,
D000405,O000405,Amit,17,delivered
D000406,O000406,Ravi,-2,Cancelled
D000407,O000407,John,16,Cancelled
D000408,O000408,Ravi,-5,Delivered
D000409,O000409,John,14,
D000410,O000410,Ravi,5,delivered
D000411,O000411,Amit,13,
D000412,O000412,Amit,6,
D000413,O000413,Amit,15,
D000414,O000414,John,2,delivered
D000415,O000415,Amit,7,delivered
D000416,O000416,,-1,
D000417,O000417,John,-5,Cancelled
D000418,O000418,Amit,12,delivered
D000419,O000419,Amit,-4,Delivered
D000420,O000420,Ravi,3,
D000421,O000421,,7,delivered
D000422,O000422,,7,delivered
D000423,O000423,John,17,
D000424,O000424,,9,Delivered
D000425,O000425,Amit,14,Cancelled
D000426,O000426,John,3,Cancelled
D000427,O000427,Kiran,9,delivered
D000428,O000428,Ravi,19,Delivered
D000429,O000429,Ravi,1,Delivered
D000430,O000430,Kiran,5,
D000431,O000431,John,19,
D000432,O000432,Kiran,19,Delivered
D000433,O000433,,17,Cancelled
D000434,O000434,Amit,-1,
D000435,O000435,Kiran,3,
D000436,O000436,Kiran,8,Cancelled
D000437,O000437,,13,Cancelled
D000438,O000438,John,9,
D000439,O000439,Amit,10,Delivered
D000440,O000440,Amit,14,
D000441,O000441,Ravi,9,Cancelled
D000442,O000442,Amit,16,
D000443,O000443,Amit,17,delivered
D000444,O000444,Amit,9,Cancelled
D000445,O000445,Amit,18,
D000446,O000446,,-2,delivered
D000447,O000447,Ravi,19,Cancelled
D000448,O000448,Kiran,13,delivered
D000449,O000449,Ravi,13,Delivered
D000450,O000450,John,-1,Cancelled
D000451,O000451,Kiran,-4,delivered
D000452,O000452,Ravi,-5,Delivered
D000453,O000453,Ravi,3,delivered
D000454,O000454,Ravi,2,Cancelled
D000455,O000455,Ravi,6,Cancelled
D000456,O000456,Ravi,-3,Cancelled
D000457,O000457,Ravi,15,Delivered
D000458,O000458,,2,
D000459,O000459,,12,Cancelled
D000460,O000460,Kiran,17,Delivered
D000461,O000461,Amit,3,Delivered
D000462,O000462,Ravi,-2,Cancelled
D000463,O000463,Amit,10,Cancelled
D000464,O000464,,12,Cancelled
D000465,O000465,John,19,Cancelled
D000466,O000466,Ravi,4,
D000467,O000467,Kiran,11,
D000468,O000468,Amit,16,delivered
D000469,O000469,Kiran,2,
D000470,O000470,Ravi,-4,delivered
D000471,O000471,Amit,4,delivered
D000472,O000472,Amit,6,Delivered
D000473,O000473,Ravi,1,
D000474,O000474,John,1,
D000475,O000475,Ravi,7,
D000476,O000476,Kiran,13,Delivered
D000477,O000477,,4,delivered
D000478,O000478,,14,
D000479,O000479,,18,Cancelled
D000480,O000480,Amit,0,Delivered
D000481,O000481,Amit,7,Delivered
D000482,O000482,Ravi,12,Delivered
D000483,O000483,Amit,10,Delivered
D000484,O000484,Kiran,16,delivered
D000485,O000485,Ravi,1,delivered
D000486,O000486,Kiran,2,
D000487,O000487,,2,
D000488,O000488,Kiran,10,Delivered
D000489,O000489,,2,Cancelled
D000490,O000490,Amit,9,delivered
D000491,O000491,Ravi,2,Delivered
D000492,O000492,John,0,delivered
D000493,O000493,Kiran,-5,Delivered
D000494,O000494,Ravi,10,Cancelled
D000495,O000495,John,7,Delivered
D000496,O000496,Ravi,-2,Delivered
D000497,O000497,John,12,Delivered
D000498,O000498,Ravi,1,Cancelled
D000499,O000499,,-5,
D000500,O000500,John,-1,
D000501,O000501,Ravi,2,
D000502,O000502,John,-2,Delivered
D000503,O000503,,1,
D000504,O000504,John,10,Delivered
D000505,O000505,John,-1,delivered
D000506,O000506,Ravi,11,Delivered
D000507,O000507,Kiran,5,delivered
D000508,O000508,,12,Delivered
D000509,O000509,Ravi,-1,Cancelled
D000510,O000510,Amit,17,Cancelled
D000511,O000511,John,17,
D000512,O000512,Amit,19,Cancelled
D000513,O000513,Ravi,-3,Delivered
D000514,O000514,Kiran,14,Cancelled
D000515,O000515,,-3,Cancelled
D000516,O000516,Ravi,6,Delivered
D000517,O000517,Kiran,18,
D000518,O000518,Ravi,9,
D000519,O000519,Kiran,3,
D000520,O000520,Amit,8,delivered
D000521,O000521,Kiran,2,
D000522,O000522,,12,Delivered
D000523,O000523,Amit,4,
D000524,O000524,John,11,Delivered
D000525,O000525,Amit,9,delivered
D000526,O000526,Amit,15,Cancelled
D000527,O000527,John,-4,Delivered
D000528,O000528,Amit,-3,delivered
D000529,O000529,Amit,3,delivered
D000530,O000530,John,13,Cancelled
D000531,O000531,John,11,Delivered
D000532,O000532,,19,
D000533,O000533,Amit,-4,delivered
D000534,O000534,Amit,0,
D000535,O000535,Amit,5,Delivered
D000536,O000536,,5,Delivered
D000537,O000537,Amit,17,Cancelled
D000538,O000538,John,3,
D000539,O000539,John,10,Delivered
D000540,O000540,John,18,Cancelled
D000541,O000541,John,16,delivered
D000542,O000542,Kiran,14,
D000543,O000543,John,14,Cancelled
D000544,O000544,,8,Cancelled
D000545,O000545,Kiran,14,delivered
D000546,O000546,Amit,5,Cancelled
D000547,O000547,John,4,Cancelled
D000548,O000548,Amit,-4,delivered
D000549,O000549,John,1,Cancelled
D000550,O000550,John,-5,
D000551,O000551,Kiran,-1,Delivered
D000552,O000552,John,9,Cancelled
D000553,O000553,John,5,Cancelled
D000554,O000554,Ravi,14,Delivered
D000555,O000555,,12,Cancelled
D000556,O000556,,3,delivered
D000557,O000557,Amit,-5,
D000558,O000558,Amit,14,delivered
D000559,O000559,Kiran,0,Delivered
D000560,O000560,Amit,14,delivered
D000561,O000561,Ravi,4,
D000562,O000562,Amit,-2,Cancelled
D000563,O000563,John,12,delivered
D000564,O000564,Amit,6,Cancelled
D000565,O000565,Amit,19,Cancelled
D000566,O000566,John,3,
D000567,O000567,Ravi,11,
D000568,O000568,,11,Cancelled
D000569,O000569,Ravi,8,
D000570,O000570,Ravi,18,Cancelled
D000571,O000571,Kiran,3,Cancelled
D000572,O000572,Kiran,13,delivered
D000573,O000573,John,7,Cancelled
D000574,O000574,Kiran,-3,Delivered
D000575,O000575,,12,
D000576,O000576,John,3,Delivered
D000577,O000577,Kiran,10,Delivered
D000578,O000578,Amit,12,delivered
D000579,O000579,Kiran,1,Delivered
D000580,O000580,,12,
D000581,O000581,Kiran,8,Cancelled
D000582,O000582,John,4,
D000583,O000583,Amit,4,delivered
D000584,O000584,John,0,delivered
D000585,O000585,Amit,-3,Cancelled
D000586,O000586,Amit,11,Delivered
D000587,O000587,,16,Cancelled
D000588,O000588,Ravi,-4,Delivered
D000589,O000589,,1,Delivered
D000590,O000590,Ravi,6,Delivered
D000591,O000591,Ravi,19,Delivered
D000592,O000592,,-5,Delivered
D000593,O000593,Kiran,14,Cancelled
D000594,O000594,,-1,delivered
D000595,O000595,John,7,delivered
D000596,O000596,John,19,delivered
D000597,O000597,John,13,Cancelled
D000598,O000598,John,0,
D000599,O000599,Ravi,-1,Cancelled
D000600,O000600,Ravi,-1,delivered
D000601,O000601,,12,
D000602,O000602,Amit,4,Delivered
D000603,O000603,Amit,15,delivered
D000604,O000604,Ravi,13,delivered
D000605,O000605,Kiran,-4,Delivered
D000606,O000606,Ravi,5,
D000607,O000607,Kiran,16,Delivered
D000608,O000608,Amit,-5,Delivered
D000609,O000609,Ravi,0,Cancelled
D000610,O000610,,8,Delivered
D000611,O000611,John,18,delivered
D000612,O000612,Amit,-3,delivered
D000613,O000613,Ravi,1,delivered
D000614,O000614,Ravi,9,
D000615,O000615,John,13,delivered
D000616,O000616,Amit,16,Delivered
D000617,O000617,,1,Cancelled
D000618,O000618,,-3,delivered
D000619,O000619,,5,
D000620,O000620,Amit,-1,Delivered
D000621,O000621,,8,Delivered
D000622,O000622,Kiran,-3,
D000623,O000623,Ravi,-2,Cancelled
D000624,O000624,Kiran,-1,
D000625,O000625,Amit,17,Cancelled
D000626,O000626,,-2,
D000627,O000627,,-2,Delivered
D000628,O000628,,-4,delivered
D000629,O000629,John,-1,delivered
D000630,O000630,John,-3,Cancelled
D000631,O000631,,8,Delivered
D000632,O000632,Ravi,-2,delivered
D000633,O000633,John,10,
D000634,O000634,Amit,18,Delivered
D000635,O000635,,-2,Delivered
D000636,O000636,Ravi,0,delivered
D000637,O000637,John,13,
D000638,O000638,Amit,11,
D000639,O000639,John,-2,delivered
D000640,O000640,Amit,16,
D000641,O000641,,19,delivered
D000642,O000642,Ravi,15,Cancelled
D000643,O000643,Kiran,6,Cancelled
D000644,O000644,John,1,Delivered
D000645,O000645,Ravi,10,delivered
D000646,O000646,Kiran,8,
D000647,O000647,,7,
D000648,O000648,Amit,5,delivered
D000649,O000649,,5,Delivered
D000650,O000650,Ravi,-5,delivered
D000651,O000651,Ravi,2,
D000652,O000652,John,7,delivered
D000653,O000653,Kiran,-2,
D000654,O000654,Kiran,18,
D000655,O000655,John,19,delivered
D000656,O000656,,13,Cancelled
D000657,O000657,Kiran,14,
D000658,O000658,,0,
D000659,O000659,Amit,-3,Delivered
D000660,O000660,Ravi,3,
D000661,O000661,Amit,13,delivered
D000662,O000662,John,1,Cancelled
D000663,O000663,Kiran,17,
D000664,O000664,Amit,5,Cancelled
D000665,O000665,Ravi,9,Delivered
D000666,O000666,Kiran,9,delivered
D000667,O000667,,15,
D000668,O000668,Kiran,16,Cancelled
D000669,O000669,Ravi,11,
D000670,O000670,Kiran,9,Cancelled
D000671,O000671,Amit,6,Delivered
D000672,O000672,John,13,Cancelled
D000673,O000673,Amit,-3,
D000674,O000674,Kiran,-4,delivered
D000675,O000675,,-5,Cancelled
D000676,O000676,Kiran,19,Cancelled
D000677,O000677,Ravi,-2,delivered
D000678,O000678,Amit,18,
D000679,O000679,Amit,1,Cancelled
D000680,O000680,Kiran,6,Delivered
D000681,O000681,John,16,
D000682,O000682,Kiran,11,Cancelled
D000683,O000683,John,-3,Delivered
D000684,O000684,Kiran,15,Delivered
D000685,O000685,Amit,11,delivered
D000686,O000686,John,11,
D000687,O000687,Ravi,4,Delivered
D000688,O000688,John,9,Cancelled
D000689,O000689,,3,
D000690,O000690,Ravi,11,delivered
D000691,O000691,Kiran,-2,Delivered
D000692,O000692,,18,Delivered
D000693,O000693,Ravi,3,Delivered
D000694,O000694,Kiran,0,Cancelled
D000695,O000695,John,9,
D000696,O000696,Kiran,6,Cancelled
D000697,O000697,Amit,18,Delivered
D000698,O000698,Ravi,16,delivered
D000699,O000699,John,2,Cancelled
D000700,O000700,Kiran,17,delivered
D000701,O000701,John,3,Cancelled
D000702,O000702,John,3,delivered
D000703,O000703,Ravi,12,delivered
D000704,O000704,John,15,Delivered
D000705,O000705,Ravi,-4,Delivered
D000706,O000706,John,16,
D000707,O000707,John,14,Delivered
D000708,O000708,Kiran,18,
D000709,O000709,,4,Delivered
D000710,O000710,Ravi,-2,delivered
D000711,O000711,Amit,0,
D000712,O000712,Ravi,6,Delivered
D000713,O000713,John,7,Cancelled
D000714,O000714,,11,Delivered
D000715,O000715,Ravi,14,Delivered
D000716,O000716,John,14,Cancelled
D000717,O000717,Amit,0,Delivered
D000718,O000718,Kiran,9,
D000719,O000719,Kiran,2,Delivered
D000720,O000720,Ravi,-2,Delivered
D000721,O000721,Ravi,-2,Cancelled
D000722,O000722,Amit,-3,Cancelled
D000723,O000723,Kiran,10,Delivered
D000724,O000724,John,2,Cancelled
D000725,O000725,Ravi,0,delivered
D000726,O000726,,14,Cancelled
D000727,O000727,Kiran,7,
D000728,O000728,John,10,Delivered
D000729,O000729,Kiran,15,Cancelled
D000730,O000730,Amit,12,Delivered
D000731,O000731,,3,
D000732,O000732,John,18,delivered
D000733,O000733,John,-4,delivered
D000734,O000734,Ravi,18,Delivered
D000735,O000735,Amit,0,Cancelled
D000736,O000736,Amit,8,delivered
D000737,O000737,John,11,Delivered
D000738,O000738,Kiran,9,Delivered
D000739,O000739,John,14,delivered
D000740,O000740,John,-1,Delivered
D000741,O000741,John,-4,delivered
D000742,O000742,John,6,delivered
D000743,O000743,John,-1,Cancelled
D000744,O000744,John,-5,Delivered
D000745,O000745,Kiran,-4,delivered
D000746,O000746,,-5,delivered
D000747,O000747,,5,Cancelled
D000748,O000748,Ravi,-4,delivered
D000749,O000749,,5,Cancelled
D000750,O000750,Kiran,-4,delivered
D000751,O000751,John,1,Delivered
D000752,O000752,Amit,1,Delivered
D000753,O000753,Kiran,1,Delivered
D000754,O000754,Amit,-4,Cancelled
D000755,O000755,Ravi,10,Delivered
D000756,O000756,Kiran,-3,Cancelled
D000757,O000757,John,-4,
D000758,O000758,John,-1,Cancelled
D000759,O000759,Kiran,-3,
D000760,O000760,Kiran,0,Cancelled
D000761,O000761,John,16,delivered
D000762,O000762,Amit,-1,Cancelled
D000763,O000763,Kiran,12,delivered
D000764,O000764,John,2,Cancelled
D000765,O000765,,7,Cancelled
D000766,O000766,Kiran,16,
D000767,O000767,Ravi,-4,
D000768,O000768,Ravi,7,delivered
D000769,O000769,Kiran,11,delivered
D000770,O000770,John,0,Delivered
D000771,O000771,Amit,-4,Delivered
D000772,O000772,Kiran,14,
D000773,O000773,Ravi,6,delivered
D000774,O000774,Amit,10,Delivered
D000775,O000775,,-2,delivered
D000776,O000776,Amit,10,
D000777,O000777,,7,delivered
D000778,O000778,Ravi,8,
D000779,O000779,,3,Delivered
D000780,O000780,Amit,6,delivered
D000781,O000781,Ravi,8,delivered
D000782,O000782,Amit,5,Delivered
D000783,O000783,Kiran,4,Cancelled
D000784,O000784,Amit,1,Cancelled
D000785,O000785,Kiran,19,
D000786,O000786,Kiran,0,delivered
D000787,O000787,,11,Delivered
D000788,O000788,Kiran,7,
