payment_id,order_id,payment_method,payment_status
P000170,O000170,Debit Card,
P000171,O000171,UPI,Completed
P000172,O000172,UPI,
P000173,O000173,Credit Card,Completed
P000174,O000174,Credit Card,Completed
P000175,O000175,,completed
P000176,O000176,,
P000177,O000177,Credit Card,Failed
P000178,O000178,Credit Card,Failed
P000179,O000179,,completed
P000180,O000180,,Failed
P000181,O000181,,completed
P000182,O000182,UPI,Completed
P000183,O000183,Cash,Failed
P000184,O000184,Credit Card,
P000185,O000185,UPI,Completed
P000186,O000186,,
P000187,O000187,Cash,
P000188,O000188,Cash,Failed
P000189,O000189,UPI,Failed
P000190,O000190,Debit Card,Failed
P000191,O000191,Debit Card,Completed
P000192,O000192,,
P000193,O000193,Debit Card,completed
P000194,O000194,,Completed
P000195,O000195,Debit Card,completed
P000196,O000196,UPI,Failed
P000197,O000197,Cash,
P000198,O000198,Credit Card,Failed
P000199,O000199,Cash,Failed
P000200,O000200,Debit Card,Failed
P000201,O000201,Cash,Completed
P000202,O000202,Debit Card,completed
P000203,O000203,,completed
P000204,O000204,Credit Card,completed
P000205,O000205,,Failed
P000206,O000206,Credit Card,Completed
P000207,O000207,,Failed
P000208,O000208,,completed
P000209,O000209,Cash,
P000210,O000210,Credit Card,Completed
P000211,O000211,Cash,
P000212,O000212,,Completed
P000213,O000213,Cash,
P000214,O000214,Debit Card,Failed
P000215,O000215,,Completed
P000216,O000216,Debit Card,Completed
P000217,O000217,,Completed
P000218,O000218,Debit Card,
P000219,O000219,Debit Card,Failed
P000220,O000220,,Failed
P000221,O000221,Debit Card,Completed
P000222,O000222,Credit Card,Failed
P000223,O000223,Debit Card,
P000224,O000224,,
P000225,O000225,Credit Card,Completed
P000226,O000226,Credit Card,completed
P000227,O000227,Credit Card,completed
P000228,O000228,Cash,Completed
P000229,O000229,Credit Card,
P000230,O000230,Cash,completed
P000231,O000231,UPI,completed
P000232,O000232,Debit Card,completed
P000233,O000233,Cash,Completed
P000234,O000234,,
P000235,O000235,Credit Card,Failed
P000236,O000236,,Completed
P000237,O000237,Credit Card,Completed
P000238,O000238,,
P000239,O000239,Debit Card,
P000240,O000240,Debit Card,Failed
P000241,O000241,UPI,Completed
P000242,O000242,,Completed
P000243,O000243,UPI,Completed
P000244,O000244,,completed
P000245,O000245,Debit Card,
P000246,O000246,UPI,Completed
P000247,O000247,Credit Card,Completed
P000248,O000248,Debit Card,Failed
P000249,O000249,Cash,completed
P000250,O000250,Debit Card,completed
P000251,O000251,Debit Card,Completed
P000252,O000252,Cash,completed
P000253,O000253,,completed
P000254,O000254,Cash,Failed
P000255,O000255,,Failed
P000256,O000256,UPI,completed
P000257,O000257,UPI,Failed
P000258,O000258,UPI,Completed
P000259,O000259,Cash,Failed
P000260,O000260,,
P000261,O000261,Credit Card,Completed
P000262,O000262,Debit Card,Failed
P000263,O000263,Cash,completed
P000264,O000264,UPI,Completed
P000265,O000265,Credit Card,Failed
P000266,O000266,,
P000267,O000267,,Failed
P000268,O000268,,Completed
P000269,O000269,Cash,Failed
P000270,O000270,Debit Card,
P000271,O000271,Debit Card,
P000272,O000272,Credit Card,completed
P000273,O000273,UPI,Completed
P000274,O000274,UPI,
P000275,O000275,UPI,
P000276,O000276,UPI,
P000277,O000277,Credit Card,completed
P000278,O000278,Credit Card,Completed
P000279,O000279,,
P000280,O000280,Cash,Completed
P000281,O000281,Debit Card,
P000282,O000282,Credit Card,
P000283,O000283,Debit Card,Completed
P000284,O000284,,Completed
P000285,O000285,,completed
P000286,O000286,Credit Card,completed
P000287,O000287,UPI,Completed
P000288,O000288,Cash,Completed
P000289,O000289,Debit Card,completed
P000290,O000290,Debit Card,Completed
P000291,O000291,,Completed
P000292,O000292,Debit Card,completed
P000293,O000293,UPI,completed
P000294,O000294,Credit Card,completed
P000295,O000295,Cash,
P000296,O000296,Cash,Failed
P000297,O000297,UPI,
P000298,O000298,Debit Card,Completed
P000299,O000299,UPI,completed
P000300,O000300,Cash,
P000301,O000301,UPI,
P000302,O000302,Cash,Completed
P000303,O000303,Debit Card,
P000304,O000304,Cash,Failed
P000305,O000305,UPI,completed
P000306,O000306,,completed
P000307,O000307,Cash,Completed
P000308,O000308,,Completed
P000309,O000309,,completed
P000310,O000310,,completed
P000311,O000311,UPI,
P000312,O000312,UPI,Completed
P000313,O000313,Debit Card,Completed
P000314,O000314,Cash,completed
P000315,O000315,Credit Card,Failed
P000316,O000316,,Completed
P000317,O000317,Cash,Completed
P000318,O000318,,Completed
P000319,O000319,Debit Card,completed
P000320,O000320,UPI,
P000321,O000321,Credit Card,completed
P000322,O000322,UPI,completed
P000323,O000323,Debit Card,Completed
P000324,O000324,Debit Card,Completed
P000325,O000325,,Failed
P000326,O000326,UPI,completed
P000327,O000327,UPI,
P000328,O000328,Credit Card,
P000329,O000329,Cash,completed
P000330,O000330,Debit Card,Completed
P000331,O000331,,Completed
P000332,O000332,Credit Card,Failed
P000333,O000333,UPI,
P000334,O000334,,Completed
P000335,O000335,Debit Card,Completed
P000336,O000336,Debit Card,Completed
P000337,O000337,Cash,Failed
P000338,O000338,UPI,
P000339,O000339,Debit Card,Failed
P000340,O000340,,Failed
P000341,O000341,,Failed
P000342,O000342,,Failed
P000343,O000343,UPI,completed
P000344,O000344,UPI,Completed
P000345,O000345,Debit Card,Failed
P000346,O000346,Cash,
P000347,O000347,Cash,Failed
P000348,O000348,Cash,Failed
P000349,O000349,Credit Card,
P000350,O000350,UPI,Failed
P000351,O000351,UPI,Completed
P000352,O000352,Debit Card,
P000353,O000353,,Completed
P000354,O000354,UPI,
P000355,O000355,Cash,completed
P000356,O000356,Credit Card,Completed
P000357,O000357,,Failed
P000358,O000358,,Failed
P000359,O000359,Credit Card,Failed
P000360,O000360,Credit Card,
P000361,O000361,UPI,Failed
P000362,O000362,Credit Card,Completed
P000363,O000363,Debit Card,Completed
P000364,O000364,,completed
P000365,O000365,,
P000366,O000366,Cash,Completed
P000367,O000367,UPI,Failed
P000368,O000368,Cash,Failed
P000369,O000369,UPI,Completed
P000370,O000370,UPI,completed
P000371,O000371,UPI,completed
P000372,O000372,Debit Card,Completed
P000373,O000373,Credit Card,Completed
P000374,O000374,Credit Card,
P000375,O000375,Debit Card,
P000376,O000376,Cash,Completed
P000377,O000377,UPI,Failed
P000378,O000378,Debit Card,Completed
P000379,O000379,Cash,
P000380,O000380,Credit Card,Completed
P000381,O000381,,completed
P000382,O000382,UPI,
P000383,O000383,UPI,completed
P000384,O000384,UPI,
P000385,O000385,Credit Card,
P000386,O000386,UPI,
P000387,O000387,UPI,Failed
P000388,O000388,Credit Card,
P000389,O000389,Debit Card,completed
P000390,O000390,Cash,
P000391,O000391,,completed
P000392,O000392,Cash,Completed
P000393,O000393,Credit Card,completed
P000394,O000394,Credit Card,completed
P000395,O000395,Cash,completed
P000396,O000396,Credit Card,
P000397,O000397,,completed
P000398,O000398,UPI,completed
P000399,O000399,Debit Card,completed
P000400,O000400,,completed
P000401,O000401,Credit Card,completed
P000402,O000402,Debit Card,Failed
P000403,O000403,Cash,Completed
P000404,O000404,UPI,completed
P000405,O000405,Cash,Completed
P000406,O000406,Debit Card,
P000407,O000407,UPI,completed
P000408,O000408,Cash,
P000409,O000409,Debit Card,Failed
P000410,O000410,UPI,
P000411,O000411,Credit Card,
P000412,O000412,UPI,
P000413,O000413,Debit Card,completed
P000414,O000414,,
P000415,O000415,Debit Card,Failed
P000416,O000416,,completed
P000417,O000417,Cash,completed
P000418,O000418,Credit Card,Completed
P000419,O000419,UPI,
P000420,O000420,Debit Card,
P000421,O000421,Credit Card,completed
P000422,O000422,,completed
P000423,O000423,,
P000424,O000424,Debit Card,Failed
P000425,O000425,,Completed
P000426,O000426,Credit Card,
P000427,O000427,Credit Card,completed
P000428,O000428,Credit Card,Completed
P000429,O000429,Debit Card,Completed
P000430,O000430,,
P000431,O000431,,completed
P000432,O000432,Cash,completed
P000433,O000433,UPI,completed
P000434,O000434,UPI,
P000435,O000435,,completed
P000436,O000436,,
P000437,O000437,Credit Card,completed
P000438,O000438,Debit Card,Completed
P000439,O000439,,Failed
P000440,O000440,Cash,Completed
P000441,O000441,Cash,completed
P000442,O000442,,Completed
P000443,O000443,UPI,Failed
P000444,O000444,Debit Card,Completed
P000445,O000445,Cash,completed
P000446,O000446,,completed
P000447,O000447,,
P000448,O000448,Credit Card,completed
P000449,O000449,Cash,Failed
P000450,O000450,Credit Card,
P000451,O000451,Debit Card,completed
P000452,O000452,Debit Card,completed
P000453,O000453,Cash,completed
P000454,O000454,Credit Card,completed
P000455,O000455,UPI,Completed
P000456,O000456,Credit Card,
P000457,O000457,Cash,
P000458,O000458,Cash,completed
P000459,O000459,Credit Card,Completed
P000460,O000460,,Failed
P000461,O000461,,Completed
P000462,O000462,UPI,Completed
P000463,O000463,UPI,Completed
P000464,O000464,UPI,
P000465,O000465,Cash,Completed
P000466,O000466,Cash,Completed
P000467,O000467,,Completed
P000468,O000468,Credit Card,Failed
P000469,O000469,Debit Card,
P000470,O000470,Credit Card,completed
P000471,O000471,,
P000472,O000472,,Failed
P000473,O000473,,Completed
P000474,O000474,,Completed
P000475,O000475,Cash,Completed
P000476,O000476,UPI,Failed
P000477,O000477,UPI,Completed
P000478,O000478,Credit Card,Failed
P000479,O000479,Credit Card,Completed
P000480,O000480,,Completed
P000481,O000481,,Failed
P000482,O000482,Debit Card,Failed
P000483,O000483,UPI,Failed
P000484,O000484,,Failed
P000485,O000485,Credit Card,
P000486,O000486,Credit Card,
P000487,O000487,Credit Card,Completed
P000488,O000488,Debit Card,Completed
P000489,O000489,,completed
P000490,O000490,,Completed
P000491,O000491,,Completed
P000492,O000492,Debit Card,Completed
P000493,O000493,,
P000494,O000494,UPI,Completed
P000495,O000495,,Completed
P000496,O000496,,completed
P000497,O000497,Credit Card,
P000498,O000498,,
P000499,O000499,Cash,Failed
P000500,O000500,Debit Card,Completed
P000501,O000501,Credit Card,Completed
P000502,O000502,Debit Card,
P000503,O000503,Cash,Failed
P000504,O000504,Credit Card,Failed
P000505,O000505,Credit Card,completed
P000506,O000506,Cash,completed
P000507,O000507,Cash,
P000508,O000508,UPI,
P000509,O000509,Credit Card,
P000510,O000510,Debit Card,
P000511,O000511,,completed
P000512,O000512,Cash,Failed
P000513,O000513,UPI,
P000514,O000514,Cash,Completed
P000515,O000515,Debit Card,Failed
P000516,O000516,,Completed
P000517,O000517,,
P000518,O000518,Cash,Failed
P000519,O000519,,
P000520,O000520,,Failed
P000521,O000521,Debit Card,Failed
P000522,O000522,Cash,Failed
P000523,O000523,UPI,Completed
P000524,O000524,UPI,Completed
P000525,O000525,Credit Card,
P000526,O000526,Debit Card,Completed
P000527,O000527,Cash,Completed
P000528,O000528,,
P000529,O000529,Debit Card,
P000530,O000530,Cash,completed
P000531,O000531,Cash,completed
P000532,O000532,Debit Card,Failed
P000533,O000533,Debit Card,Completed
P000534,O000534,Debit Card,Completed
P000535,O000535,Credit Card,Failed
P000536,O000536,,Failed
P000537,O000537,Debit Card,Failed
P000538,O000538,Credit Card,Completed
P000539,O000539,UPI,Completed
P000540,O000540,Credit Card,
P000541,O000541,,Completed
P000542,O000542,UPI,completed
P000543,O000543,Debit Card,
P000544,O000544,Debit Card,Failed
P000545,O000545,Debit Card,Completed
P000546,O000546,Debit Card,Failed
P000547,O000547,UPI,completed
P000548,O000548,Credit Card,Failed
P000549,O000549,Credit Card,
P000550,O000550,Cash,Completed
P000551,O000551,Credit Card,Failed
P000552,O000552,Credit Card,Completed
P000553,O000553,Credit Card,
P000554,O000554,Credit Card,
P000555,O000555,Credit Card,
P000556,O000556,UPI,completed
P000557,O000557,,
P000558,O000558,,completed
P000559,O000559,Cash,Completed
P000560,O000560,Credit Card,
P000561,O000561,Debit Card,
P000562,O000562,,completed
P000563,O000563,Debit Card,
P000564,O000564,Cash,Failed
P000565,O000565,Debit Card,completed
P000566,O000566,Credit Card,completed
P000567,O000567,Credit Card,completed
P000568,O000568,UPI,completed
P000569,O000569,Credit Card,Completed
P000570,O000570,,completed
P000571,O000571,Credit Card,Completed
P000572,O000572,Credit Card,Completed
P000573,O000573,Debit Card,Completed
P000574,O000574,Cash,Failed
P000575,O000575,Credit Card,Failed
P000576,O000576,,Completed
P000577,O000577,Cash,
P000578,O000578,Credit Card,Failed
P000579,O000579,Cash,completed
P000580,O000580,,
P000581,O000581,Debit Card,Failed
P000582,O000582,Debit Card,completed
P000583,O000583,UPI,
P000584,O000584,,Failed
P000585,O000585,Credit Card,
P000586,O000586,Credit Card,Completed
P000587,O000587,UPI,Completed
P000588,O000588,,Failed
P000589,O000589,Cash,completed
P000590,O000590,Cash,completed
P000591,O000591,Debit Card,Completed
P000592,O000592,Cash,completed
P000593,O000593,Cash,Completed
P000594,O000594,,Failed
P000595,O000595,,Failed
P000596,O000596,UPI,
P000597,O000597,,Failed
P000598,O000598,UPI,
P000599,O000599,UPI,Completed
P000600,O000600,Credit Card,
P000601,O000601,Cash,
P000602,O000602,,Failed
P000603,O000603,UPI,
P000604,O000604,Cash,completed
P000605,O000605,,Completed
P000606,O000606,Cash,completed
P000607,O000607,UPI,Failed
P000608,O000608,Cash,Completed
P000609,O000609,Debit Card,Completed
P000610,O000610,Cash,
P000611,O000611,Debit Card,Completed
P000612,O000612,,Failed
P000613,O000613,UPI,Completed
P000614,O000614,Cash,Completed
P000615,O000615,Cash,
P000616,O000616,Cash,Failed
P000617,O000617,UPI,Failed
P000618,O000618,Cash,
P000619,O000619,,
P000620,O000620,,completed
P000621,O000621,,completed
P000622,O000622,,
P000623,O000623,Credit Card,completed
P000624,O000624,Credit Card,Completed
P000625,O000625,,Failed
P000626,O000626,Cash,completed
P000627,O000627,,completed
P000628,O000628,Credit Card,Failed
P000629,O000629,Credit Card,Completed
P000630,O000630,UPI,Failed
P000631,O000631,UPI,Failed
P000632,O000632,Cash,
P000633,O000633,UPI,Failed
P000634,O000634,Debit Card,Completed
P000635,O000635,Debit Card,
P000636,O000636,UPI,completed
P000637,O000637,Debit Card,
P000638,O000638,Credit Card,completed
P000639,O000639,,Completed
P000640,O000640,,Failed
P000641,O000641,Debit Card,Failed
P000642,O000642,Credit Card,completed
P000643,O000643,Credit Card,completed
P000644,O000644,UPI,Failed
P000645,O000645,Credit Card,Completed
P000646,O000646,Credit Card,completed
P000647,O000647,Credit Card,Completed
P000648,O000648,,
P000649,O000649,Debit Card,Completed
P000650,O000650,UPI,
P000651,O000651,UPI,Failed
P000652,O000652,UPI,Completed
P000653,O000653,Cash,Failed
P000654,O000654,Debit Card,Completed
P000655,O000655,,completed
P000656,O000656,Debit Card,Failed
P000657,O000657,UPI,Failed
P000658,O000658,,Failed
P000659,O000659,Debit Card,
P000660,O000660,Credit Card,Failed
P000661,O000661,Debit Card,completed
P000662,O000662,Credit Card,Failed
P000663,O000663,UPI,
P000664,O000664,Credit Card,
P000665,O000665,Cash,Failed
P000666,O000666,,completed
P000667,O000667,Credit Card,Completed
P000668,O000668,,completed
P000669,O000669,Credit Card,Completed
P000670,O000670,UPI,
P000671,O000671,Debit Card,
P000672,O000672,Credit Card,
P000673,O000673,UPI,Failed
P000674,O000674,Credit Card,Failed
P000675,O000675,Cash,
P000676,O000676,,Completed
P000677,O000677,Credit Card,Failed
P000678,O000678,UPI,completed
P000679,O000679,UPI,completed
P000680,O000680,Debit Card,completed
P000681,O000681,,Completed
P000682,O000682,Debit Card,Completed
P000683,O000683,,Completed
P000684,O000684,,
P000685,O000685,Credit Card,Failed
P000686,O000686,Debit Card,
P000687,O000687,Debit Card,Completed
P000688,O000688,Debit Card,completed
P000689,O000689,UPI,Completed
P000690,O000690,Cash,completed
P000691,O000691,Credit Card,Failed
P000692,O000692,Debit Card,
P000693,O000693,,Completed
P000694,O000694,,
P000695,O000695,Credit Card,
P000696,O000696,UPI,completed
P000697,O000697,Debit Card,completed
P000698,O000698,Cash,Completed
P000699,O000699,UPI,
P000700,O000700,Credit Card,Failed
P000701,O000701,Debit Card,Completed
P000702,O000702,Credit Card,Failed
P000703,O000703,Credit Card,
P000704,O000704,Credit Card,
P000705,O000705,Credit Card,
P000706,O000706,Cash,completed
P000707,O000707,Credit Card,Completed
P000708,O000708,,Completed
P000709,O000709,Credit Card,completed
P000710,O000710,Cash,Failed
P000711,O000711,Credit Card,Completed
P000712,O000712,Debit Card,Completed
P000713,O000713,UPI,Completed
P000714,O000714,Cash,
P000715,O000715,Debit Card,Failed
P000716,O000716,Cash,
P000717,O000717,UPI,completed
P000718,O000718,,completed
P000719,O000719,UPI,
P000720,O000720,,completed
P000721,O000721,Credit Card,
P000722,O000722,Debit Card,Failed
P000723,O000723,Cash,Failed
P000724,O000724,,completed
P000725,O000725,Cash,Completed
P000726,O000726,UPI,Failed
P000727,O000727,Credit Card,completed
P000728,O000728,UPI,completed
P000729,O000729,,Completed
P000730,O000730,Debit Card,Completed
P000731,O000731,,Failed
P000732,O000732,,Failed
P000733,O000733,UPI,completed
P000734,O000734,,
P000735,O000735,Debit Card,Failed
P000736,O000736,Credit Card,
P000737,O000737,UPI,
P000738,O000738,,Completed
P000739,O000739,Cash,
P000740,O000740,Credit Card,Failed
P000741,O000741,UPI,Failed
P000742,O000742,Debit Card,
P000743,O000743,Debit Card,Failed
P000744,O000744,Credit Card,Failed
P000745,O000745,Debit Card,Completed
P000746,O000746,UPI,Failed
P000747,O000747,UPI,Completed
P000748,O000748,UPI,Failed
P000749,O000749,,
P000750,O000750,Debit Card,completed
P000751,O000751,,
P000752,O000752,Debit Card,
P000753,O000753,Debit Card,Failed
P000754,O000754,Debit Card,Completed
P000755,O000755,Cash,Completed
P000756,O000756,,completed
P000757,O000757,Credit Card,completed
P000758,O000758,,
P000759,O000759,Debit Card,
P000760,O000760,Credit Card,Completed
P000761,O000761,Credit Card,Completed
P000762,O000762,Credit Card,Failed
P000763,O000763,Cash,Completed
P000764,O000764,UPI,Completed
P000765,O000765,Debit Card,completed
P000766,O000766,Debit Card,Completed
P000767,O000767,,
P000768,O000768,Credit Card,
P000769,O000769,Cash,completed
P000770,O000770,Credit Card,Failed
P000771,O000771,,
P000772,O000772,UPI,completed
P000773,O000773,Debit Card,Failed
P000774,O000774,Credit Card,completed
P000775,O000775,Debit Card,completed
P000776,O000776,,Failed
P000777,O000777,UPI,Completed
P000778,O000778,Cash,completed
P000779,O000779,UPI,Completed
P000780,O000780,Cash,Completed
P000781,O000781,Credit Card,Completed
P000782,O000782,UPI,Failed
P000783,O000783,Credit Card,completed
P000784,O000784,UPI,completed
P000785,O000785,Credit Card,Completed
P000786,O000786,,completed
P000787,O000787,,Completed
P000788,O000788,Cash,Failed
P000789,O000789,UPI,Failed
P000790,O000790,UPI,
P000791,O000791,Cash,completed
P000792,O000792,Credit Card,Completed
P000793,O000793,UPI,Failed
P000794,O000794,Cash,
P000795,O000795,Cash,completed
P000796,O000796,UPI,Completed
P000797,O000797,Debit Card,Completed
P000798,O000798,Credit Card,
P000799,O000799,Debit Card,completed
P000800,O000800,Debit Card,
P000801,O000801,Credit Card,Completed
P000802,O000802,,completed
P000803,O000803,UPI,completed
P000804,O000804,Cash,Failed
P000805,O000805,UPI,Failed
P000806,O000806,Debit Card,
P000807,O000807,,completed
P000808,O000808,,Completed
P000809,O000809,UPI,Failed
P000810,O000810,Debit Card,Completed
P000811,O000811,Credit Card,completed
P000812,O000812,Cash,completed
P000813,O000813,,Completed
P000814,O000814,Cash,
P000815,O000815,Debit Card,Failed
P000816,O000816,UPI,Failed
P000817,O000817,Debit Card,Failed
P000818,O000818,,
P000819,O000819,UPI,Failed
P000820,O000820,Cash,Completed
P000821,O000821,,Failed
P000822,O000822,UPI,Completed
P000823,O000823,UPI,Failed
P000824,O000824,Cash,Failed
P000825,O000825,Debit Card,Completed
P000826,O000826,Debit Card,
P000827,O000827,Debit Card,Completed
P000828,O000828,,
P000829,O000829,UPI,Completed
P000830,O000830,Credit Card,completed
P000831,O000831,Credit Card,Completed
P000832,O000832,Cash,completed
P000833,O000833,UPI,Completed
P000834,O000834,,Completed
P000835,O000835,UPI,Completed
P000836,O000836,Cash,completed
P000837,O000837,Credit Card,completed
P000838,O000838,,completed
P000839,O000839,Credit Card,Completed
P000840,O000840,Debit Card,Completed
P000841,O000841,Cash,completed
P000842,O000842,Credit Card,completed
P000843,O000843,,Completed
P000844,O000844,UPI,
P000845,O000845,Cash,Failed
P000846,O000846,Credit Card,
P000847,O000847,Debit Card,completed
P000848,O000848,Credit Card,Completed
P000849,O000849,,Failed
P000850,O000850,Debit Card,Failed
P000851,O000851,Debit Card,completed
P000852,O000852,Cash,
P000853,O000853,,Completed
P000854,O000854,,Completed
P000855,O000855,Debit Card,completed
P000856,O000856,UPI,completed
P000857,O000857,UPI,Completed
P000858,O000858,Cash,Failed
P000859,O000859,Cash,completed
P000860,O000860,Cash,Completed
P000861,O000861,Cash,Failed
P000862,O000862,Debit Card,Failed
P000863,O000863,Cash,Failed
P000864,O000864,UPI,Failed
P000865,O000865,Credit Card,Failed
P000866,O000866,UPI,
P000867,O000867,Cash,Completed
P000868,O000868,Debit Card,Completed
P000869,O000869,,Failed
P000870,O000870,Credit Card,Completed
P000871,O000871,Credit Card,Completed
P000872,O000872,Cash,Completed
P000873,O000873,Cash,completed
P000874,O000874,Credit Card,Failed
P000875,O000875,Debit Card,Failed
P000876,O000876,Credit Card,
P000877,O000877,Debit Card,Completed
P000878,O000878,UPI,Completed
P000879,O000879,Cash,Completed
P000880,O000880,Debit Card,completed
P000881,O000881,Credit Card,completed
P000882,O000882,UPI,
P000883,O000883,Credit Card,Failed
P000884,O000884,UPI,Failed
P000885,O000885,,completed
P000886,O000886,UPI,completed
P000887,O000887,Debit Card,completed
P000888,O000888,,Failed
P000889,O000889,UPI,
P000890,O000890,UPI,Failed
P000891,O000891,Debit Card,Failed
P000892,O000892,Cash,
P000893,O000893,Cash,Completed
P000894,O000894,Cash,Failed
P000895,O000895,,Completed
P000896,O000896,Cash,Failed
P000897,O000897,,Failed
P000898,O000898,Cash,Failed
P000899,O000899,Debit Card,Completed
P000900,O000900,,completed
P000901,O000901,Cash,Completed
P000902,O000902,Credit Card,Failed
P000903,O000903,Cash,completed
P000904,O000904,Credit Card,Completed
P000905,O000905,Credit Card,
P000906,O000906,UPI,completed
P000907,O000907,Cash,Completed
P000908,O000908,UPI,completed
P000909,O000909,UPI,Failed
P000910,O000910,,Completed
P000911,O000911,Credit Card,
P000912,O000912,UPI,Completed
P000913,O000913,Cash,Completed
P000914,O000914,Debit Card,completed
P000915,O000915,Cash,Failed
P000916,O000916,Credit Card,
P000917,O000917,,Failed
P000918,O000918,Cash,
P000919,O000919,Cash,
P000920,O000920,UPI,
P000921,O000921,Cash,Failed
P000922,O000922,Credit Card,
